index,source,timestamp,values
15229,heart_rate,2017-07-02 09:16:33.443,"['73.0', '0']"
15230,heart_rate,2017-07-02 09:16:42.743,"['74.0', '1']"
15231,heart_rate,2017-07-02 09:16:49.868,"['75.0', '1']"
15242,heart_rate,2017-07-02 09:16:59.946,"['77.0', '1']"
15243,heart_rate,2017-07-02 09:17:00.753,"['73.0', '1']"
15244,heart_rate,2017-07-02 09:17:07.698,"['74.0', '1']"
15245,heart_rate,2017-07-02 09:17:40.923,"['76.0', '1']"
15246,heart_rate,2017-07-02 09:17:48.047,"['77.0', '1']"
15247,heart_rate,2017-07-02 09:17:52.183,"['76.0', '1']"
15256,heart_rate,2017-07-02 09:18:08.313,"['77.0', '1']"
15257,heart_rate,2017-07-02 09:18:09.126,"['76.0', '1']"
15390,heart_rate,2017-07-02 09:40:43.605,"['73.0', '1']"
15391,heart_rate,2017-07-02 09:40:43.609,"['74.0', '1']"
15392,heart_rate,2017-07-02 09:40:43.612,"['73.0', '1']"
15393,heart_rate,2017-07-02 09:40:43.615,"['72.0', '1']"
15394,heart_rate,2017-07-02 09:40:43.643,"['73.0', '1']"
15395,heart_rate,2017-07-02 09:40:43.647,"['77.0', '1']"
15396,heart_rate,2017-07-02 09:40:43.650,"['81.0', '1']"
15397,heart_rate,2017-07-02 09:40:43.652,"['71.0', '1']"
15398,heart_rate,2017-07-02 09:40:43.655,"['62.0', '1']"
15399,heart_rate,2017-07-02 09:40:43.658,"['61.0', '1']"
15400,heart_rate,2017-07-02 09:40:43.663,"['61.0', '3']"
15401,heart_rate,2017-07-02 09:40:43.665,"['61.0', '2']"
15402,heart_rate,2017-07-02 09:40:43.671,"['60.0', '2']"
15403,heart_rate,2017-07-02 09:40:43.686,"['59.0', '2']"
15404,heart_rate,2017-07-02 09:40:43.688,"['58.0', '2']"
15405,heart_rate,2017-07-02 09:40:43.691,"['57.0', '2']"
15406,heart_rate,2017-07-02 09:40:43.694,"['56.0', '2']"
15407,heart_rate,2017-07-02 09:40:43.697,"['58.0', '2']"
15408,heart_rate,2017-07-02 09:40:43.699,"['59.0', '2']"
15409,heart_rate,2017-07-02 09:40:43.701,"['59.0', '1']"
15410,heart_rate,2017-07-02 09:40:43.703,"['60.0', '1']"
15411,heart_rate,2017-07-02 09:40:43.707,"['59.0', '1']"
15412,heart_rate,2017-07-02 09:40:43.711,"['60.0', '1']"
15413,heart_rate,2017-07-02 09:40:43.713,"['59.0', '1']"
15414,heart_rate,2017-07-02 09:40:43.716,"['61.0', '1']"
15415,heart_rate,2017-07-02 09:40:43.720,"['62.0', '1']"
15416,heart_rate,2017-07-02 09:40:43.724,"['61.0', '1']"
15417,heart_rate,2017-07-02 09:40:43.727,"['62.0', '1']"
15418,heart_rate,2017-07-02 09:40:43.729,"['61.0', '1']"
15420,heart_rate,2017-07-02 09:40:53.562,"['62.0', '1']"
15432,heart_rate,2017-07-02 09:41:01.654,"['63.0', '1']"
15433,heart_rate,2017-07-02 09:41:09.758,"['62.0', '1']"
15434,heart_rate,2017-07-02 09:41:27.820,"['63.0', '1']"
15441,heart_rate,2017-07-02 09:41:42.070,"['64.0', '1']"
15442,heart_rate,2017-07-02 09:41:47.018,"['64.0', '0']"
15449,heart_rate,2017-07-02 09:42:22.298,"['63.0', '0']"
15450,heart_rate,2017-07-02 09:42:24.462,"['64.0', '0']"
15451,heart_rate,2017-07-02 09:42:53.673,"['65.0', '0']"
15458,heart_rate,2017-07-02 09:43:03.673,"['66.0', '0']"
15459,heart_rate,2017-07-02 09:43:06.638,"['67.0', '0']"
15460,heart_rate,2017-07-02 09:43:07.634,"['66.0', '0']"
15461,heart_rate,2017-07-02 09:43:08.812,"['67.0', '0']"
15462,heart_rate,2017-07-02 09:43:13.783,"['66.0', '1']"
15463,heart_rate,2017-07-02 09:43:21.875,"['65.0', '1']"
15464,heart_rate,2017-07-02 09:43:22.849,"['61.0', '1']"
15465,heart_rate,2017-07-02 09:43:28.803,"['61.0', '2']"
15466,heart_rate,2017-07-02 09:43:29.805,"['61.0', '1']"
15467,heart_rate,2017-07-02 09:43:38.896,"['60.0', '1']"
15474,heart_rate,2017-07-02 09:43:45.014,"['57.0', '1']"
15475,heart_rate,2017-07-02 09:43:46.011,"['58.0', '1']"
15476,heart_rate,2017-07-02 09:43:47.009,"['59.0', '1']"
15483,heart_rate,2017-07-02 09:43:47.984,"['57.0', '1']"
15484,heart_rate,2017-07-02 09:43:56.098,"['58.0', '1']"
15491,heart_rate,2017-07-02 09:44:02.050,"['61.0', '1']"
15492,heart_rate,2017-07-02 09:44:03.041,"['63.0', '1']"
15493,heart_rate,2017-07-02 09:44:05.025,"['64.0', '1']"
15494,heart_rate,2017-07-02 09:44:11.155,"['65.0', '1']"
15495,heart_rate,2017-07-02 09:44:13.133,"['66.0', '1']"
15496,heart_rate,2017-07-02 09:44:14.124,"['68.0', '2']"
15497,heart_rate,2017-07-02 09:44:15.113,"['69.0', '2']"
15498,heart_rate,2017-07-02 09:44:20.259,"['69.0', '1']"
15602,heart_rate,2017-07-02 10:18:15.529,"['70.0', '1']"
15603,heart_rate,2017-07-02 10:18:15.532,"['69.0', '1']"
15604,heart_rate,2017-07-02 10:18:15.534,"['65.0', '1']"
15605,heart_rate,2017-07-02 10:18:15.537,"['62.0', '1']"
15606,heart_rate,2017-07-02 10:18:15.539,"['63.0', '1']"
15607,heart_rate,2017-07-02 10:18:15.541,"['62.0', '1']"
15608,heart_rate,2017-07-02 10:18:15.544,"['63.0', '1']"
15609,heart_rate,2017-07-02 10:18:15.546,"['65.0', '1']"
15610,heart_rate,2017-07-02 10:18:15.548,"['66.0', '1']"
15611,heart_rate,2017-07-02 10:18:15.551,"['74.0', '1']"
15612,heart_rate,2017-07-02 10:18:15.552,"['75.0', '1']"
15613,heart_rate,2017-07-02 10:18:15.554,"['76.0', '1']"
15614,heart_rate,2017-07-02 10:18:15.556,"['77.0', '1']"
15615,heart_rate,2017-07-02 10:18:15.559,"['78.0', '1']"
15616,heart_rate,2017-07-02 10:18:15.560,"['78.0', '2']"
15617,heart_rate,2017-07-02 10:18:15.563,"['79.0', '2']"
15618,heart_rate,2017-07-02 10:18:15.566,"['78.0', '1']"
15619,heart_rate,2017-07-02 10:18:15.568,"['82.0', '2']"
15620,heart_rate,2017-07-02 10:18:15.570,"['87.0', '2']"
15621,heart_rate,2017-07-02 10:18:15.572,"['89.0', '2']"
15622,heart_rate,2017-07-02 10:18:15.574,"['89.0', '1']"
15624,heart_rate,2017-07-02 10:18:15.582,"['88.0', '1']"
15625,heart_rate,2017-07-02 10:18:15.662,"['91.0', '1']"
15626,heart_rate,2017-07-02 10:18:15.674,"['90.0', '1']"
15627,heart_rate,2017-07-02 10:18:15.678,"['89.0', '1']"
15628,heart_rate,2017-07-02 10:18:15.683,"['86.0', '1']"
15629,heart_rate,2017-07-02 10:18:15.710,"['85.0', '1']"
15630,heart_rate,2017-07-02 10:18:15.746,"['84.0', '1']"
15631,heart_rate,2017-07-02 10:18:15.754,"['82.0', '1']"
15632,heart_rate,2017-07-02 10:18:15.766,"['81.0', '1']"
15633,heart_rate,2017-07-02 10:18:15.770,"['82.0', '1']"
15634,heart_rate,2017-07-02 10:18:15.778,"['83.0', '1']"
15635,heart_rate,2017-07-02 10:18:15.789,"['84.0', '1']"
15636,heart_rate,2017-07-02 10:18:15.823,"['83.0', '1']"
15637,heart_rate,2017-07-02 10:18:15.865,"['84.0', '1']"
