,Unnamed: 0.1,Unnamed: 0,index,activity_type,duration,from,to,comment,date,time
107,108,91,15,Walk,00:08,2017-07-10 15:04:00,2017-07-10 15:13:00,,2017-07-10,15:04:00
108,109,90,14,Train,00:16,2017-07-10 15:15:00,2017-07-10 15:32:00,,2017-07-10,15:15:00
109,110,89,13,Walk,00:02,2017-07-10 15:32:00,2017-07-10 15:34:00,,2017-07-10,15:32:00
110,111,88,12,In bus,00:10,2017-07-10 15:40:00,2017-07-10 15:50:00,,2017-07-10,15:40:00
111,112,86,10,Walk,00:15,2017-07-10 16:34:00,2017-07-10 16:49:00,,2017-07-10,16:34:00
112,113,84,8,Eat,00:10,2017-07-10 17:17:00,2017-07-10 17:27:00,,2017-07-10,17:17:00
113,114,83,7,In bus,00:04,2017-07-10 17:36:00,2017-07-10 17:40:00,,2017-07-10,17:36:00
114,115,82,6,Walk,00:05,2017-07-10 17:40:00,2017-07-10 17:45:00,,2017-07-10,17:40:00
115,116,81,5,Shop,00:16,2017-07-10 17:45:00,2017-07-10 18:01:00,,2017-07-10,17:45:00
116,117,80,4,Walk,00:03,2017-07-10 18:03:00,2017-07-10 18:07:00,,2017-07-10,18:03:00
117,118,79,3,In bus,00:03,2017-07-10 18:09:00,2017-07-10 18:13:00,,2017-07-10,18:09:00
118,119,77,1,In computer,01:18,2017-07-10 18:42:00,2017-07-10 20:00:00,,2017-07-10,18:42:00
119,120,76,0,Video games,00:24,2017-07-10 20:44:00,2017-07-10 21:08:00,,2017-07-10,20:44:00
120,121,104,6,Cooking,00:30,2017-07-11 12:43:00,2017-07-11 13:14:00,,2017-07-11,12:43:00
121,122,103,5,Eat,00:19,2017-07-11 13:15:00,2017-07-11 13:34:00,Approximately,2017-07-11,13:15:00
122,123,102,4,Pause,00:20,2017-07-11 14:10:00,2017-07-11 14:31:00,,2017-07-11,14:10:00
123,124,101,3,In bus,00:19,2017-07-11 15:10:00,2017-07-11 15:29:00,,2017-07-11,15:10:00
124,125,100,2,Shopping& wearing,01:43,2017-07-11 15:38:00,2017-07-11 17:21:00,,2017-07-11,15:38:00
125,126,99,1,In bus,00:38,2017-07-11 17:26:00,2017-07-11 18:05:00,,2017-07-11,17:26:00
126,127,98,0,Movie,01:39,2017-07-11 21:36:00,2017-07-11 23:16:00,,2017-07-11,21:36:00
127,128,116,11,In computer,00:04,2017-07-12 12:23:00,2017-07-12 12:27:00,,2017-07-12,12:23:00
128,129,115,10,Pause,00:36,2017-07-12 12:28:00,2017-07-12 13:04:00,,2017-07-12,12:28:00
129,130,113,8,Eat,00:14,2017-07-12 13:24:00,2017-07-12 13:39:00,,2017-07-12,13:24:00
130,131,114,9,In computer,00:48,2017-07-12 13:24:00,2017-07-12 14:12:00,,2017-07-12,13:24:00
131,132,112,7,Cooking,00:33,2017-07-12 14:45:00,2017-07-12 15:19:00,,2017-07-12,14:45:00
132,133,111,6,Eat,00:06,2017-07-12 15:58:00,2017-07-12 16:04:00,,2017-07-12,15:58:00
133,134,110,5,In bus,00:28,2017-07-12 16:12:00,2017-07-12 16:40:00,,2017-07-12,16:12:00
134,135,109,4,Walk,00:14,2017-07-12 16:40:00,2017-07-12 16:55:00,,2017-07-12,16:40:00
135,136,108,3,Meeting,01:21,2017-07-12 17:00:00,2017-07-12 18:21:00,,2017-07-12,17:00:00
136,137,107,2,In vehicle,00:05,2017-07-12 18:22:00,2017-07-12 18:27:00,,2017-07-12,18:22:00
137,138,106,1,In bus,00:31,2017-07-12 18:39:00,2017-07-12 19:10:00,,2017-07-12,18:39:00
138,139,105,0,Video games,00:41,2017-07-12 21:09:00,2017-07-12 21:51:00,,2017-07-12,21:09:00
