,index,source,timestamp,values,activity
50640,126675,heart_rate,17:17.2,"['62.0', '1']",In computer
50641,126676,heart_rate,17:21.4,"['63.0', '1']",In computer
50642,126677,heart_rate,17:22.2,"['68.0', '1']",In computer
50643,126678,heart_rate,17:23.2,"['69.0', '1']",In computer
50644,126679,heart_rate,17:26.1,"['71.0', '1']",In computer
50645,126680,heart_rate,17:30.3,"['75.0', '1']",In computer
50646,126681,heart_rate,17:31.5,"['76.0', '1']",In computer
50647,126682,heart_rate,17:32.3,"['79.0', '1']",In computer
50648,126683,heart_rate,17:34.4,"['80.0', '1']",In computer
50649,126684,heart_rate,17:40.4,"['81.0', '1']",In computer
50650,126685,heart_rate,17:41.6,"['83.0', '1']",In computer
50651,126686,heart_rate,17:44.5,"['75.0', '1']",In computer
50652,126687,heart_rate,17:45.3,"['74.0', '1']",In computer
50653,126688,heart_rate,17:53.4,"['73.0', '1']",In computer
50654,126689,heart_rate,17:57.6,"['74.0', '1']",In computer
50655,126701,heart_rate,18:10.7,"['75.0', '1']",In computer
50656,126710,heart_rate,18:14.5,"['74.0', '1']",In computer
50657,126722,heart_rate,18:46.1,"['73.0', '1']",In computer
50658,126733,heart_rate,19:11.0,"['74.0', '1']",In computer
50659,126734,heart_rate,19:13.2,"['75.0', '1']",In computer
50660,126735,heart_rate,19:19.2,"['74.0', '1']",In computer
50661,126736,heart_rate,19:28.2,"['73.0', '1']",In computer
50662,126856,heart_rate,59:07.8,"['72.0', '1']",In computer
50663,126857,heart_rate,59:07.8,"['66.0', '1']",In computer
50664,126858,heart_rate,59:07.8,"['66.0', '2']",In computer
50665,126859,heart_rate,59:07.8,"['66.0', '1']",In computer
50666,126861,heart_rate,59:07.8,"['65.0', '1']",In computer
50667,126862,heart_rate,59:07.8,"['64.0', '1']",In computer
50668,126863,heart_rate,59:07.8,"['63.0', '1']",In computer
50669,126864,heart_rate,59:07.8,"['64.0', '1']",In computer
50670,126865,heart_rate,59:07.9,"['65.0', '1']",In computer
50671,126866,heart_rate,59:07.9,"['64.0', '1']",In computer
50672,126867,heart_rate,59:07.9,"['64.0', '3']",In computer
50673,126868,heart_rate,59:07.9,"['65.0', '3']",In computer
50674,126869,heart_rate,59:07.9,"['66.0', '3']",In computer
50675,126870,heart_rate,59:07.9,"['67.0', '3']",In computer
50676,126871,heart_rate,59:08.0,"['66.0', '3']",In computer
50677,126872,heart_rate,59:08.0,"['65.0', '3']",In computer
50678,126873,heart_rate,59:08.0,"['66.0', '3']",In computer
50679,126874,heart_rate,59:08.0,"['65.0', '3']",In computer
50680,126875,heart_rate,59:08.0,"['66.0', '3']",In computer
50681,126876,heart_rate,59:08.0,"['65.0', '3']",In computer
50682,126877,heart_rate,59:08.0,"['66.0', '3']",In computer
50683,126878,heart_rate,59:08.0,"['61.0', '3']",In computer
50684,126879,heart_rate,59:08.0,"['62.0', '3']",In computer
50685,126880,heart_rate,59:08.0,"['61.0', '3']",In computer
50686,126881,heart_rate,59:08.0,"['60.0', '3']",In computer
50687,126882,heart_rate,59:08.0,"['61.0', '3']",In computer
50688,126883,heart_rate,59:08.0,"['62.0', '3']",In computer
50689,126884,heart_rate,59:08.0,"['65.0', '3']",In computer
50690,126885,heart_rate,59:08.0,"['66.0', '3']",In computer
50691,126886,heart_rate,59:08.1,"['67.0', '3']",In computer
50692,126887,heart_rate,59:08.1,"['66.0', '3']",In computer
50693,126888,heart_rate,59:08.1,"['67.0', '3']",In computer
50694,126889,heart_rate,59:08.1,"['66.0', '3']",In computer
50695,126890,heart_rate,59:08.1,"['65.0', '3']",In computer
50696,126891,heart_rate,59:08.1,"['64.0', '2']",In computer
50697,126892,heart_rate,59:08.1,"['64.0', '1']",In computer
50698,126893,heart_rate,59:08.1,"['63.0', '1']",In computer
50699,126894,heart_rate,59:08.1,"['62.0', '1']",In computer
50700,126895,heart_rate,59:08.2,"['61.0', '1']",In computer
50701,126896,heart_rate,59:08.2,"['63.0', '1']",In computer
50702,126897,heart_rate,59:08.2,"['65.0', '3']",In computer
